School_Name,City,County_Name,School_Enrollment
CAYUGA H S,Tennessee Colony,ANDERSON COUNTY,166
ELKHART H S,Elkhart,ANDERSON COUNTY,344
FRANKSTON H S,Frankston,ANDERSON COUNTY,223
NECHES H S,Palestine,ANDERSON COUNTY,95
PALESTINE H S,Palestine,ANDERSON COUNTY,1016
WESTWOOD H S,Palestine,ANDERSON COUNTY,434
SLOCUM H S,Elkhart,ANDERSON COUNTY,122
ANDREWS H S,Andrews,ANDREWS COUNTY,1146
ANDREWS EDUCATION CENTER,Andrews,ANDREWS COUNTY,57
PINEYWOODS COMMUNITY ACADEMY H S,Lufkin,ANGELINA COUNTY,261
PINEYWOOD COMMUNITY ACADEMY - LIVINGSTON,Livingston,ANGELINA COUNTY,0
HUDSON H S,Lufkin,ANGELINA COUNTY,804
STUBBLEFIELD LRN CTR,Lufkin,ANGELINA COUNTY,9
LUFKIN H S,Lufkin,ANGELINA COUNTY,2131
STUBBLEFIELD LRN CTR,Lufkin,ANGELINA COUNTY,52
HUNTINGTON H S,Huntington,ANGELINA COUNTY,468
PRIDE ALTER SCH,Huntington,ANGELINA COUNTY,10
DIBOLL H S,Diboll,ANGELINA COUNTY,499
STUBBLEFIELD LRN CTR,Lufkin,ANGELINA COUNTY,4
STUBBLEFIELD LRN CTR,Lufkin,ANGELINA COUNTY,0
CENTRAL H S,Pollok,ANGELINA COUNTY,390
STUBBLEFIELD LRN CTR,Lufkin,ANGELINA COUNTY,4
ROCKPORT-FULTON H S,Rockport,ARANSAS COUNTY,921
HOLLIDAY H S,Holliday,ARCHER COUNTY,324
WINDTHORST H S,Windthorst,ARCHER COUNTY,117
CHARLOTTE H S,Charlotte,ATASCOSA COUNTY,125
JOURDANTON H S,Jourdanton,ATASCOSA COUNTY,430
LYTLE H S,Lytle,ATASCOSA COUNTY,479
PLEASANTON H S,Pleasanton,ATASCOSA COUNTY,965
PLEASANTON ISD SCHOOL OF CHOICE,Pleasanton,ATASCOSA COUNTY,14
POTEET H S,Poteet,ATASCOSA COUNTY,461
BELLVILLE H S,Bellville,AUSTIN COUNTY,704
SEALY H S,Sealy,AUSTIN COUNTY,817
BRAZOS H S,Wallis,AUSTIN COUNTY,253
MULESHOE H S,Muleshoe,BAILEY COUNTY,362
BANDERA H S,Bandera,BANDERA COUNTY,658
BASTROP H S,Bastrop,BASTROP COUNTY,1487
CEDAR CREEK H S,Cedar Creek,BASTROP COUNTY,1743
COLORADO RIVER COLLEGIATE ACADEMY,Bastrop,BASTROP COUNTY,232
GENESIS H S,Bastrop,BASTROP COUNTY,139
ELGIN H S,Elgin,BASTROP COUNTY,1380
PHOENIX H S,Elgin,BASTROP COUNTY,48
SMITHVILLE H S,Smithville,BASTROP COUNTY,584
SEYMOUR H S,Seymour,BAYLOR COUNTY,175
A C JONES H S,Beeville,BEE COUNTY,926
SKIDMORE-TYNAN H S,Skidmore,BEE COUNTY,253
RICHARD MILBURN ALTER H S (KILLEEN),Killeen,BELL COUNTY,160
RICHARD MILBURN ACADEMY ODESSA,Odessa,BELL COUNTY,403
RICHARD MILBURN ACADEMY LUBBOCK,Lubbock,BELL COUNTY,163
RICHARD MILBURN ACADEMY HOUSTON (SUBURBAN),Houston,BELL COUNTY,214
RICHARD MILBURN ACADEMY FORT WORTH,Fort Worth,BELL COUNTY,171
RICHARD MILBURN ACADEMY CORPUS CHRISTI,Corpus Christi,BELL COUNTY,252
RICHARD MILBURN ACADEMY AMARILLO,Amarillo,BELL COUNTY,141
RICHARD MILBURN ACADEMY PASADENA,Pasadena,BELL COUNTY,196
RICHARD MILBURN ACADEMY MIDLAND SOUTH,Midland,BELL COUNTY,161
GATEWAY TECH H S,Georgetown,BELL COUNTY,80
ACADEMY H S,Little River Academy,BELL COUNTY,487
BELTON H S,Belton,BELL COUNTY,2884
BELTON NEW TECH H S AT WASKOW,Belton,BELL COUNTY,0
HOLLAND H S,Holland,BELL COUNTY,207
KILLEEN H S,Killeen,BELL COUNTY,2162
C E ELLISON H S,Killeen,BELL COUNTY,2668
KILLEEN ISD CAREER CENTER,Killeen,BELL COUNTY,0
GATEWAY H S,Killeen,BELL COUNTY,52
PATHWAYS ACADEMIC CAMPUS,Killeen,BELL COUNTY,397
HARKER HEIGHTS H S,Harker Heights,BELL COUNTY,2700
ROBERT M SHOEMAKER H S,Killeen,BELL COUNTY,2215
KILLEEN ISD EARLY COLLEGE H S,Fort Hood,BELL COUNTY,1060
CHAPARRAL H S,Killeen,BELL COUNTY,0
ROGERS H S,Rogers,BELL COUNTY,282
SALADO H S,Salado,BELL COUNTY,663
TEMPLE H S,Temple,BELL COUNTY,2292
FRED W EDWARDS ACADEMY AEC,Temple,BELL COUNTY,103
TROY H S,Troy,BELL COUNTY,445
POR VIDA ACADEMY CHARTER H S,San Antonio,BEXAR COUNTY,89
POR VIDA ACADEMY CORPUS CHRISTI,Corpus Christi,BEXAR COUNTY,48
FRANK L MADLA EARLY COLLEGE H S,San Antonio,BEXAR COUNTY,164
LEGACY TRADITIONAL SCHOOL - LEE ACADEMY,San Antonio,BEXAR COUNTY,88
POSITIVE SOLUTIONS CHARTER,San Antonio,BEXAR COUNTY,119
LIGHTHOUSE HIGH,San Antonio,BEXAR COUNTY,0
HARMONY SCHOOL OF EXCELLENCE - LAREDO,Laredo,BEXAR COUNTY,565
HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,San Antonio,BEXAR COUNTY,102
ALAMO HEIGHTS H S,San Antonio,BEXAR COUNTY,1671
HARLANDALE H S,San Antonio,BEXAR COUNTY,1695
MCCOLLUM H S,San Antonio,BEXAR COUNTY,1531
HAC DAEP H S,San Antonio,BEXAR COUNTY,7
FRANK M TEJEDA ACADEMY,San Antonio,BEXAR COUNTY,204
FENLEY TRANSITIONAL H S,San Antonio,BEXAR COUNTY,6
HARLANDALE ISD STEM ECHS-ALAMO COLLEGES AT PAC,San Antonio,BEXAR COUNTY,393
JOHN F KENNEDY H S,San Antonio,BEXAR COUNTY,1100
MEMORIAL H S,San Antonio,BEXAR COUNTY,1154
STEAM AT THE FINE ARTS ACADEMY,San Antonio,BEXAR COUNTY,288
LEARN4LIFE,San Antonio,BEXAR COUNTY,0
RANDOLPH H S,Universal City,BEXAR COUNTY,468
BRACKENRIDGE H S,San Antonio,BEXAR COUNTY,1531
BURBANK H S,San Antonio,BEXAR COUNTY,1291
EDISON H S,San Antonio,BEXAR COUNTY,1474
FOX TECHNICAL H S,San Antonio,BEXAR COUNTY,466
HIGHLANDS H S,San Antonio,BEXAR COUNTY,1525
HOUSTON H S,San Antonio,BEXAR COUNTY,834
JEFFERSON H S,San Antonio,BEXAR COUNTY,1616
LANIER H S,San Antonio,BEXAR COUNTY,1409
TRAVIS EARLY COLLEGE H S,San Antonio,BEXAR COUNTY,430
COOPER ACADEMY AT NAVARRO,San Antonio,BEXAR COUNTY,394
ST PHILIP'S COLLEGE EARLY COLLEGE H S WITH SAISD,San Antonio,BEXAR COUNTY,342
CAST TECH H S,San Antonio,BEXAR COUNTY,492
TEXANS CAN ACADEMY AT HIGHLANDS H S,San Antonio,BEXAR COUNTY,269
HEALY-MURPHY,San Antonio,BEXAR COUNTY,157
SOUTH SAN ANTONIO H S,San Antonio,BEXAR COUNTY,2343
SOUTH SAN ANTONIO H S - WEST CAMPUS,San Antonio,BEXAR COUNTY,192
SOMERSET H S,Somerset,BEXAR COUNTY,1163
SHIRLEEN ZACHARIAS EARLY CLGE LEADERSHIP ACADEMY,Somerset,BEXAR COUNTY,148
LEGACY OF EDUCATIONAL EXCELLENCE H S,San Antonio,BEXAR COUNTY,2443
MACARTHUR H S,San Antonio,BEXAR COUNTY,2247
CHURCHILL H S,San Antonio,BEXAR COUNTY,2617
ROOSEVELT H S,San Antonio,BEXAR COUNTY,2653
MADISON H S,San Antonio,BEXAR COUNTY,3084
REAGAN H S,San Antonio,BEXAR COUNTY,3401
ACADEMY OF CREATIVE ED,San Antonio,BEXAR COUNTY,111
INTERNATIONAL SCHOOL OF AMERICA,San Antonio,BEXAR COUNTY,487
ALTER H S,San Antonio,BEXAR COUNTY,21
JOHNSON H S,San Antonio,BEXAR COUNTY,3186
EAST CENTRAL H S,San Antonio,BEXAR COUNTY,3125
SOUTHWEST H S,San Antonio,BEXAR COUNTY,2088
SOUTHWEST LEGACY H S,Von Ormy,BEXAR COUNTY,1976
CAST STEM H S,Von Ormy,BEXAR COUNTY,239
JJAEP,San Antonio,BEXAR COUNTY,0
HOLMES H S,San Antonio,BEXAR COUNTY,2599
JAY H S,San Antonio,BEXAR COUNTY,2631
MARSHALL H S,San Antonio,BEXAR COUNTY,2609
CLARK H S,San Antonio,BEXAR COUNTY,2851
HEALTH CAREERS H S,San Antonio,BEXAR COUNTY,905
TAFT H S,San Antonio,BEXAR COUNTY,2611
ALTERNATIVE H S,San Antonio,BEXAR COUNTY,22
O'CONNOR H S,Helotes,BEXAR COUNTY,3113
WARREN H S,San Antonio,BEXAR COUNTY,2925
STEVENS H S,San Antonio,BEXAR COUNTY,2830
BRANDEIS H S,San Antonio,BEXAR COUNTY,2870
BRENNAN H S,San Antonio,BEXAR COUNTY,2764
HARLAN H S,San Antonio,BEXAR COUNTY,3173
GALM ROAD AREA H S,San Antonio,BEXAR COUNTY,0
JUDSON H S,Converse,BEXAR COUNTY,2587
JUDSON LEARNING ACAD,San Antonio,BEXAR COUNTY,63
KAREN WAGNER H S,San Antonio,BEXAR COUNTY,2402
JUDSON EARLY COLLEGE ACADEMY,San Antonio,BEXAR COUNTY,441
VETERANS MEMORIAL H S,San Antonio,BEXAR COUNTY,1662
SOUTHSIDE H S,San Antonio,BEXAR COUNTY,1690
LYNDON B JOHNSON H S,Johnson City,BLANCO COUNTY,209
BLANCO H S,Blanco,BLANCO COUNTY,355
LAMESA DAEP,Lamesa,BORDEN COUNTY,0
CLIFTON H S,Clifton,BOSQUE COUNTY,282
VALLEY MILLS H S,Crawford,BOSQUE COUNTY,175
DEKALB H S,De Kalb,BOWIE COUNTY,240
HOOKS H S,Hooks,BOWIE COUNTY,302
NEW BOSTON H S,New Boston,BOWIE COUNTY,329
REDWATER H S,Texarkana,BOWIE COUNTY,345
TEXAS H S,Texarkana,BOWIE COUNTY,1770
OPTIONS,Texarkana,BOWIE COUNTY,58
LIBERTY-EYLAU H S,Texarkana,BOWIE COUNTY,651
JAMES BOWIE H S,Simms,BOWIE COUNTY,162
PLEASANT GROVE H S,Texarkana,BOWIE COUNTY,735
ALVIN H S,Alvin,BRAZORIA COUNTY,2895
MANVEL H S,Manvel,BRAZORIA COUNTY,2561
RISE,Alvin,BRAZORIA COUNTY,111
SHADOW CREEK H S,Pearland,BRAZORIA COUNTY,2531
NEW H S,Alvin,BRAZORIA COUNTY,0
ANGLETON H S,Angleton,BRAZORIA COUNTY,1988
DANBURY H S,Danbury,BRAZORIA COUNTY,269
BRAZOSPORT H S,Freeport,BRAZORIA COUNTY,930
BRAZOSWOOD H S,Clute,BRAZORIA COUNTY,2459
BRAZOS SUCCESS ACADEMY,Lake Jackson,BRAZORIA COUNTY,117
